Time,Source,Destination,Protocol,Length
2024-11-15 09:32:54.474186,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:32:54.474186,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:32:54.474186,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:32:54.475931,192.168.1.34,146.75.122.172,6,66
2024-11-15 09:32:54.483882,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:32:54.484898,192.168.1.34,146.75.122.172,6,54
2024-11-15 09:32:54.514027,192.168.1.34,74.125.68.188,6,55
2024-11-15 09:32:54.594198,74.125.68.188,192.168.1.34,6,66
2024-11-15 09:32:54.619128,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:32:54.619128,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:32:54.620731,192.168.1.34,146.75.122.172,6,66
2024-11-15 09:32:54.636690,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:32:54.637409,192.168.1.34,146.75.122.172,6,54
2024-11-15 09:32:54.671728,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:32:54.719164,192.168.1.34,146.75.122.172,6,54
2024-11-15 09:32:54.763381,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:32:54.763381,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:32:54.764574,192.168.1.34,146.75.122.172,6,54
2024-11-15 09:32:54.862704,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:32:54.862704,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:32:54.865084,192.168.1.34,146.75.122.172,6,54
2024-11-15 09:32:54.905838,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:32:54.907166,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:32:54.908683,192.168.1.34,146.75.122.172,6,54
2024-11-15 09:32:55.008976,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:32:55.008976,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:32:55.011472,192.168.1.34,146.75.122.172,6,66
2024-11-15 09:32:55.051642,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:32:55.051642,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:32:55.052683,192.168.1.34,146.75.122.172,6,66
2024-11-15 09:32:55.191721,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:32:55.193970,192.168.1.34,146.75.122.172,6,54
2024-11-15 09:32:55.196142,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:32:55.245438,192.168.1.34,146.75.122.172,6,54
2024-11-15 09:32:55.337816,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:32:55.339710,192.168.1.34,146.75.122.172,6,66
2024-11-15 09:32:55.388673,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:32:55.390102,192.168.1.34,146.75.122.172,6,66
2024-11-15 09:32:55.482518,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:32:55.484508,192.168.1.34,146.75.122.172,6,54
2024-11-15 09:32:55.532133,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:32:55.587299,192.168.1.34,146.75.122.172,6,54
2024-11-15 09:32:55.627271,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:32:55.680991,192.168.1.34,146.75.122.172,6,54
2024-11-15 09:32:55.733030,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:32:55.786772,192.168.1.34,146.75.122.172,6,54
2024-11-15 09:32:55.824632,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:32:55.881751,192.168.1.34,146.75.122.172,6,54
2024-11-15 09:32:55.929896,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:32:55.953455,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:32:55.954536,192.168.1.34,146.75.122.172,6,54
2024-11-15 09:32:56.024930,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:32:56.081811,192.168.1.34,146.75.122.172,6,54
2024-11-15 09:32:56.097455,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:32:56.121156,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:32:56.122857,192.168.1.34,146.75.122.172,6,54
2024-11-15 09:32:56.318888,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:32:56.318888,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:32:56.318888,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:32:56.321087,192.168.1.34,146.75.122.172,6,54
2024-11-15 09:32:56.321212,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:32:56.322094,192.168.1.34,146.75.122.172,6,54
2024-11-15 09:32:56.523762,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:32:56.523762,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:32:56.523762,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:32:56.523762,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:32:56.525919,192.168.1.34,146.75.122.172,6,54
2024-11-15 09:32:56.728214,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:32:56.728214,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:32:56.728214,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:32:56.728214,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:32:56.731434,192.168.1.34,146.75.122.172,6,54
2024-11-15 09:32:56.744438,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:32:56.745316,192.168.1.34,146.75.122.172,6,66
2024-11-15 09:32:56.933622,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:32:56.933622,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:32:56.933622,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:32:56.933622,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:32:56.936663,192.168.1.34,146.75.122.172,6,66
2024-11-15 09:32:56.950201,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:32:56.951758,192.168.1.34,146.75.122.172,6,54
2024-11-15 09:32:57.025569,192.168.1.34,142.250.206.131,17,145
2024-11-15 09:32:57.078320,142.250.206.131,192.168.1.34,17,72
2024-11-15 09:32:57.079598,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:32:57.079598,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:32:57.081063,192.168.1.34,146.75.122.172,6,54
2024-11-15 09:32:57.105468,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:32:57.110797,192.168.1.34,142.250.206.131,17,74
2024-11-15 09:32:57.124173,142.250.206.131,192.168.1.34,17,157
2024-11-15 09:32:57.124173,142.250.206.131,192.168.1.34,17,64
2024-11-15 09:32:57.126877,192.168.1.34,142.250.206.131,17,77
2024-11-15 09:32:57.130372,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:32:57.131454,192.168.1.34,146.75.122.172,6,54
2024-11-15 09:32:57.177847,142.250.206.131,192.168.1.34,17,66
2024-11-15 09:32:57.224612,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:32:57.224612,146.75.122.172,192.168.1.34,6,1466
2024-11-15 09:32:57.227125,192.168.1.34,146.75.122.172,6,54
